City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Mehamn,NO,2021-09-30 05:03:49,71.0357,27.8492,42.98,91,24,5.68
110,Guadalupe Y Calvo,MX,2021-09-30 05:03:50,26.1,-106.9667,47.59,89,0,3.98
111,Richards Bay,ZA,2021-09-30 05:03:51,-28.783,32.0377,65.23,86,100,4.34
112,Clyde River,CA,2021-09-30 05:03:52,70.4692,-68.5914,28.89,86,53,10.4
113,Brenham,US,2021-09-30 05:03:53,30.1669,-96.3977,74.98,75,1,0.0
114,Mantua,IT,2021-09-30 05:03:54,45.1667,10.7833,66.74,82,22,5.01
115,Biak,ID,2021-09-30 05:03:55,-0.9131,122.8766,82.89,71,87,5.48
116,Lavrentiya,RU,2021-09-30 05:03:57,65.5833,-171.0,33.01,82,100,20.22
117,Tessalit,ML,2021-09-30 05:03:58,20.1986,1.0114,84.11,14,19,11.03
118,Santa Cruz,BO,2021-09-30 05:00:11,-17.8,-63.1667,78.01,53,2,7.23
119,Catuday,PH,2021-09-30 05:03:59,16.2923,119.8062,82.78,73,10,4.94
120,Troitsko-Pechorsk,RU,2021-09-30 05:04:00,62.7084,56.1964,41.11,88,97,4.25
121,Grenfell,AU,2021-09-30 05:04:01,-33.9,148.1667,65.32,77,44,10.51
122,Sivaki,RU,2021-09-30 05:04:02,52.6333,126.75,42.15,73,54,11.41
123,Pevek,RU,2021-09-30 05:04:03,69.7008,170.3133,28.36,87,100,14.65
124,Vicksburg,US,2021-09-30 05:00:11,32.3526,-90.8779,73.81,97,75,3.44
125,Guerrero Negro,MX,2021-09-30 05:01:40,27.9769,-114.0611,67.78,72,0,14.27
126,Galesong,ID,2021-09-30 05:04:05,-5.3166,119.3661,91.42,62,99,9.44
127,Guangyuan,CN,2021-09-30 05:04:06,32.442,105.823,79.77,67,35,5.28
128,Channel-Port Aux Basques,CA,2021-09-30 05:04:07,47.5702,-59.1367,59.9,99,100,8.95
129,Sur,OM,2021-09-30 05:04:08,22.5667,59.5289,88.05,55,94,2.89
130,Behshahr,IR,2021-09-30 05:04:09,36.6923,53.5526,74.48,60,11,8.03
131,Saint-Francois,FR,2021-09-30 05:04:09,46.4154,3.9054,38.68,100,90,0.0
132,Qorveh,IR,2021-09-30 05:04:10,35.1664,47.8045,66.31,28,0,2.24
133,Laguna,US,2021-09-30 05:04:11,38.421,-121.4238,69.94,51,1,1.01
134,Chuy,UY,2021-09-30 05:04:12,-33.6971,-53.4616,55.47,82,4,12.12
135,Bengkulu,ID,2021-09-30 05:04:13,-3.8004,102.2655,80.82,81,94,14.83
136,Cherskiy,RU,2021-09-30 05:04:14,68.75,161.3,23.07,93,93,8.81
137,Kamaishi,JP,2021-09-30 05:04:14,39.2667,141.8833,74.39,78,34,15.75
138,Touros,BR,2021-09-30 05:03:06,-5.1989,-35.4608,75.78,85,20,12.12
139,Petropavlovsk-Kamchatskiy,RU,2021-09-30 05:03:10,53.0452,158.6483,50.59,71,75,11.18
140,Angoche,MZ,2021-09-30 05:02:14,-16.2325,39.9086,78.93,76,17,7.11
141,Zhangye,CN,2021-09-30 05:04:17,38.9342,100.4517,75.13,14,3,6.02
142,Atar,MR,2021-09-30 05:04:18,20.5169,-13.0499,86.72,15,0,7.4
143,Nizhniy Kuranakh,RU,2021-09-30 05:04:19,58.8353,125.4869,33.82,91,100,4.7
144,Tukrah,LY,2021-09-30 05:04:21,32.5341,20.5791,73.63,75,8,13.2
145,Sao Joao Da Barra,BR,2021-09-30 05:04:21,-21.6403,-41.0511,70.88,85,89,14.61
146,Hargeysa,SO,2021-09-30 05:04:22,9.56,44.065,75.54,51,80,22.75
147,Paamiut,GL,2021-09-30 05:04:23,61.994,-49.6678,33.78,51,79,6.24
148,Ngunguru,NZ,2021-09-30 05:04:24,-35.6167,174.5,62.17,63,56,13.18
149,Along,IN,2021-09-30 05:04:25,28.1667,94.7667,88.61,55,27,1.92
150,Curup,ID,2021-09-30 05:04:27,-3.4667,102.5333,76.78,82,96,5.35
151,Skelleftea,SE,2021-09-30 05:04:27,64.7507,20.9528,43.16,69,90,0.0
152,Mahebourg,MU,2021-09-30 05:04:28,-20.4081,57.7,75.49,64,40,17.27
153,Baykit,RU,2021-09-30 05:04:28,61.67,96.37,44.96,57,29,3.78
154,Aksarka,RU,2021-09-30 05:04:29,66.5606,67.7975,39.09,67,100,19.62
155,Diego De Almagro,CL,2021-09-30 05:04:29,-26.3667,-70.05,58.32,47,0,2.89
156,Pilar De La Horadada,ES,2021-09-30 05:04:30,37.8659,-0.7926,72.21,81,40,5.01
157,Talnakh,RU,2021-09-30 05:04:31,69.4865,88.3972,32.92,99,100,11.5
158,Rio Brilhante,BR,2021-09-30 05:04:31,-21.8019,-54.5464,78.24,45,29,3.4
159,Mehran,IR,2021-09-30 05:04:32,33.1222,46.1646,83.68,15,0,6.73
160,Abaetetuba,BR,2021-09-30 05:04:32,-1.7181,-48.8825,73.44,93,26,4.68
161,Kaeo,NZ,2021-09-30 05:02:44,-35.1,173.7833,62.33,57,10,9.6
162,Cortes,ES,2021-09-30 05:04:33,41.9395,-1.4396,59.05,81,80,10.8
163,Muroto,JP,2021-09-30 05:04:34,33.2833,134.15,77.31,77,100,17.65
164,Akdepe,TM,2021-09-30 05:04:34,42.0551,59.3788,48.2,42,82,9.06
165,Huty,UA,2021-09-30 05:04:35,50.1332,35.3439,42.26,68,30,6.2
166,Ribeira Grande,PT,2021-09-30 05:04:35,38.5167,-28.7,71.94,87,3,4.99
167,Batticaloa,LK,2021-09-30 05:04:36,7.7102,81.6924,88.05,52,88,3.2
168,Sisimiut,GL,2021-09-30 05:04:36,66.9395,-53.6735,30.54,70,57,5.28
169,San Quintin,MX,2021-09-30 05:03:22,30.4833,-115.95,66.24,74,6,5.84
170,Salalah,OM,2021-09-30 05:04:37,17.0151,54.0924,84.29,74,75,6.91
171,Izhma,RU,2021-09-30 05:04:37,65.0083,53.9113,44.17,92,100,7.02
172,Brigham City,US,2021-09-30 05:04:38,41.5102,-112.0155,53.01,33,1,0.0
173,Arraial Do Cabo,BR,2021-09-30 05:02:22,-22.9661,-42.0278,70.16,93,73,19.57
174,Hamilton,US,2021-09-30 05:00:34,39.1834,-84.5333,65.98,77,40,4.03
175,Vestmannaeyjar,IS,2021-09-30 05:03:12,63.4427,-20.2734,42.89,74,67,13.96
176,Matay,EG,2021-09-30 05:04:39,28.419,30.7792,72.5,76,0,12.53
177,Nizhniy Odes,RU,2021-09-30 05:04:40,63.6445,54.856,41.72,97,100,5.82
178,Bindi,SL,2021-09-30 05:04:40,9.9167,-11.45,68.36,96,55,0.54
179,Hofn,IS,2021-09-30 05:04:41,64.2539,-15.2082,44.73,77,100,10.09
180,Cairns,AU,2021-09-30 05:04:41,-16.9167,145.7667,87.06,74,90,8.05
181,Brainerd,US,2021-09-30 05:04:08,46.358,-94.2008,67.78,82,1,0.0
182,Moose Factory,CA,2021-09-30 05:04:42,51.2585,-80.6094,39.18,100,75,4.61
183,Samarai,PG,2021-09-30 05:04:42,-10.6167,150.6667,80.01,87,53,12.91
184,Molchanovo,RU,2021-09-30 05:04:43,57.5817,83.7692,38.12,82,100,6.11
185,Berlevag,NO,2021-09-30 05:04:43,70.8578,29.0864,39.15,87,0,6.91
186,Tafalla,ES,2021-09-30 05:04:43,42.5269,-1.6745,56.28,92,81,6.78
187,Hervey Bay,AU,2021-09-30 05:04:44,-25.2986,152.8535,77.04,78,83,14.9
188,Padang,ID,2021-09-30 05:00:28,-0.9492,100.3543,79.03,84,100,2.24
189,Chimoio,MZ,2021-09-30 05:04:45,-19.1164,33.4833,68.04,83,24,8.48
190,Kotturu,IN,2021-09-30 05:04:45,14.8167,76.2167,81.19,61,30,8.25
191,Constitucion,CL,2021-09-30 05:04:45,-35.3333,-72.4167,50.22,85,99,6.22
192,Vysokovsk,RU,2021-09-30 05:04:46,56.3167,36.55,40.86,81,100,2.1
193,Sarkand,KZ,2021-09-30 05:04:46,45.41,79.9186,67.78,34,71,7.36
194,Krasnoarmeysk,RU,2021-09-30 05:04:47,51.0239,45.6969,45.28,58,82,5.73
195,Rocha,UY,2021-09-30 05:00:49,-34.4833,-54.3333,52.27,89,4,11.54
196,Baillif,GP,2021-09-30 05:04:48,16.0202,-61.7463,74.7,72,13,6.06
197,Cidreira,BR,2021-09-30 05:04:48,-30.1811,-50.2056,62.96,79,97,14.81
198,Kem,RU,2021-09-30 05:04:49,64.9555,34.5793,42.78,93,46,6.93
199,Koindu,GN,2021-09-30 05:04:49,8.4386,-10.3253,67.59,99,90,1.14
200,Harper,LR,2021-09-30 05:04:49,4.375,-7.7169,76.44,87,100,4.32
201,Yerkoy,TR,2021-09-30 05:04:50,39.6381,34.4672,55.62,64,95,3.78
202,Hami,CN,2021-09-30 05:04:50,42.8,93.45,77.38,13,0,1.97
203,Grand Island,US,2021-09-30 05:04:51,40.925,-98.342,70.75,75,75,11.5
204,Ballina,AU,2021-09-30 05:03:57,-28.8667,153.5667,75.78,67,96,14.79
205,Provideniya,RU,2021-09-30 05:04:51,64.3833,-173.3,37.51,70,90,17.9
206,Miguel Calmon,BR,2021-09-30 05:04:52,-11.4289,-40.595,61.92,91,5,1.92
207,Ilulissat,GL,2021-09-30 05:04:52,69.2167,-51.1,26.62,46,73,8.05
208,Ginir,ET,2021-09-30 05:04:53,7.1333,40.7,64.51,67,83,4.38
209,Wilmington Island,US,2021-09-30 05:04:53,32.0036,-80.9737,74.98,91,1,0.0
210,San Patricio,US,2021-09-30 05:04:54,28.017,-97.5169,82.24,82,2,7.18
211,San Cristobal,VE,2021-09-30 05:04:55,7.7669,-72.225,65.86,96,97,1.57
212,Puerto Escondido,MX,2021-09-30 05:04:56,15.85,-97.0667,80.2,83,64,2.57
213,Jacarezinho,BR,2021-09-30 05:04:56,-23.1606,-49.9694,67.75,79,51,10.71
214,Butterworth,MY,2021-09-30 05:04:57,5.3991,100.3638,89.64,71,20,8.05
215,Aguimes,ES,2021-09-30 05:04:57,27.9054,-15.4461,70.43,74,75,26.46
216,Lorengau,PG,2021-09-30 05:04:58,-2.0226,147.2712,84.16,74,93,5.79
217,Flic En Flac,MU,2021-09-30 05:04:58,-20.2742,57.3631,75.76,67,5,13.02
218,Kibala,TD,2021-09-30 05:04:58,9.1104,18.3463,73.29,93,95,1.72
219,Sunrise Manor,US,2021-09-30 05:04:08,36.2111,-115.0731,74.71,14,1,0.0
220,Camacha,PT,2021-09-30 05:04:59,33.0833,-16.3333,68.76,68,40,12.66
221,Fort Nelson,CA,2021-09-30 05:03:11,58.8053,-122.7002,38.62,92,39,2.35
