City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Esmeraldas,BR,-19.7625,-44.3139,76.24,81,91,6.55,overcast clouds
141,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,12,6.02,few clouds
142,Bandarbeyla,SO,9.4942,50.8122,78.75,82,22,21.32,few clouds
143,Fairlie,GB,55.756,-4.8556,59.4,93,100,3.0,overcast clouds
144,Shushtar,IR,32.0455,48.8567,84.74,18,16,2.21,few clouds
145,Caravelas,BR,-17.7125,-39.2481,73.45,91,4,2.77,clear sky
146,Yarmouth,US,41.7057,-70.2286,61.09,91,1,0.0,clear sky
147,Half Moon Bay,US,37.4636,-122.4286,68.92,60,1,1.01,clear sky
148,Aswan,EG,24.0934,32.907,74.5,38,0,11.5,clear sky
149,Eagle Pass,US,28.7091,-100.4995,88.65,28,9,9.33,clear sky
150,Bulach,CH,47.522,8.5405,50.11,92,40,2.3,light intensity drizzle
151,Huarmey,PE,-10.0681,-78.1522,64.11,86,61,8.25,broken clouds
152,Norman Wells,CA,65.282,-126.8329,35.64,75,20,4.61,few clouds
153,Novochernorechenskiy,RU,56.2669,91.0828,31.19,69,100,5.17,overcast clouds
154,Carndonagh,IE,55.25,-7.2667,61.07,93,100,11.9,overcast clouds
155,Ulaanbaatar,MN,47.9077,106.8832,28.53,74,40,2.24,scattered clouds
156,Bela,IN,25.9333,81.9833,80.51,75,30,2.19,scattered clouds
157,Znamenskoye,RU,57.1281,73.8282,32.59,96,100,6.2,overcast clouds
158,Ngunguru,NZ,-35.6167,174.5,61.16,98,100,3.29,overcast clouds
159,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,70,20,12.66,few clouds
160,Nikolskoye,RU,59.7035,30.7861,49.39,74,0,10.6,clear sky
161,Homer,US,59.6425,-151.5483,46.8,84,90,4.61,moderate rain
162,Coahuayana,MX,18.7333,-103.6833,99.88,84,16,1.81,few clouds
163,Luganville,VU,-15.5333,167.1667,83.86,70,70,7.76,broken clouds
164,Aitape,PG,-3.1374,142.3475,81.0,77,99,1.99,overcast clouds
165,Assiniboia,CA,49.6334,-105.9845,73.31,20,100,11.5,overcast clouds
166,Imbituba,BR,-28.24,-48.6703,67.82,95,100,10.58,moderate rain
167,Macklin,CA,52.3334,-109.9348,55.74,33,100,9.33,overcast clouds
168,Hauterive,FR,46.0901,3.4459,42.58,93,19,0.69,few clouds
169,Sindal,DK,57.4712,10.2031,48.76,93,47,7.81,scattered clouds
170,Jamestown,US,42.097,-79.2353,68.85,83,1,5.75,clear sky
171,Kuusamo,FI,65.9667,29.1833,46.44,93,90,11.5,overcast clouds
172,Port Hawkesbury,CA,45.6169,-61.3485,59.59,79,1,1.01,clear sky
173,Tautira,PF,-17.7333,-149.15,84.22,78,28,10.11,light rain
174,Alofi,NU,-19.0595,-169.9187,80.49,74,75,11.5,light intensity drizzle
175,Margate,GB,51.3813,1.3862,53.96,88,73,7.52,broken clouds
176,Dulyapino,RU,57.2578,40.8147,27.9,88,31,4.59,scattered clouds
177,Alice Springs,AU,-23.7,133.8833,69.35,68,2,11.5,clear sky
178,Vestmanna,FO,62.1564,-7.1664,45.52,87,75,21.85,broken clouds
179,Hamilton,US,39.1834,-84.5333,73.38,86,20,0.0,few clouds
180,Mount Gambier,AU,-37.8333,140.7667,51.71,71,40,17.27,scattered clouds
181,Kawalu,ID,-7.3817,108.2082,73.98,83,97,2.46,overcast clouds
182,Carnarvon,AU,-24.8667,113.6333,66.27,45,0,12.66,clear sky
183,Esperance,AU,-33.8667,121.9,57.04,52,100,9.35,overcast clouds
184,Beyneu,KZ,45.3167,55.2,40.33,41,20,14.88,few clouds
185,Stryn,NO,61.9045,6.7226,52.88,91,100,4.09,overcast clouds
186,Teguise,ES,29.0605,-13.564,66.42,83,20,5.75,few clouds
187,Catio,GW,11.2833,-15.25,78.84,86,45,3.56,scattered clouds
188,Khandyga,RU,62.6667,135.6,33.39,85,100,6.85,light snow
189,Marawi,PH,7.9986,124.2928,71.65,69,100,1.74,overcast clouds
190,Tasiilaq,GL,65.6145,-37.6368,30.36,60,0,5.39,clear sky
191,Nahrin,AF,36.0649,69.1334,52.86,35,0,1.3,clear sky
192,Khash,IR,28.2211,61.2158,64.38,13,0,3.27,clear sky
193,Touros,BR,-5.1989,-35.4608,79.7,84,20,17.2,few clouds
194,Shebalino,RU,51.2917,85.6772,25.79,76,100,2.26,overcast clouds
195,Kovdor,RU,67.5662,30.4758,44.69,94,100,4.65,overcast clouds
196,Hobyo,SO,5.3505,48.5268,78.04,84,40,21.54,scattered clouds
197,Tezpur,IN,26.6333,92.8,75.4,92,36,3.11,scattered clouds
198,Visnes,NO,59.3556,5.2242,54.21,93,90,3.44,overcast clouds
199,Brenham,US,30.1669,-96.3977,80.04,49,1,0.0,clear sky
200,Vao,NC,-22.6667,167.4833,69.73,63,0,17.67,clear sky
201,Elko,US,41.0002,-115.5012,68.02,56,100,20.89,overcast clouds
202,Coihaique,CL,-45.5752,-72.0662,48.15,53,75,5.75,broken clouds
203,Belmonte,BR,-15.8631,-38.8828,77.5,82,0,5.82,clear sky
204,Palana,RU,59.1167,159.9667,30.96,79,100,8.41,light snow
205,Vung Tau,VN,10.346,107.0843,79.84,83,100,8.63,overcast clouds
206,Blama,SL,7.8736,-11.3433,72.97,99,100,1.54,light rain
207,Nuuk,GL,64.1835,-51.7216,36.21,80,90,11.5,overcast clouds
208,Shingu,JP,33.7333,135.9833,79.79,80,58,6.62,broken clouds
209,Bengkulu,ID,-3.8004,102.2655,73.85,94,100,3.83,overcast clouds
210,Grande-Synthe,FR,51.0154,2.2998,53.58,94,20,3.47,few clouds
211,Uruzgan,AF,32.8333,66.0,57.87,17,0,5.79,clear sky
212,Ukhta,RU,63.5671,53.6835,40.15,88,99,9.24,overcast clouds
213,Cockburn Town,TC,21.4612,-71.1419,83.48,76,5,21.88,clear sky
214,Sindgi,IN,16.9167,76.2333,75.06,88,100,7.78,overcast clouds
215,Meghri,AM,38.9029,46.2446,46.69,93,99,6.17,overcast clouds
216,Nairn,GB,57.5809,-3.8797,50.94,94,20,0.0,light rain
217,Airai,TL,-8.9266,125.4092,77.85,31,7,3.8,clear sky
218,Lipnita,RO,44.1,27.6,55.15,81,59,7.65,broken clouds
219,Robertsport,LR,6.7533,-11.3686,78.93,82,100,6.4,light rain
220,Lompoc,US,34.6391,-120.4579,74.01,79,1,12.66,clear sky
221,Korla,CN,41.7597,86.1469,55.78,37,95,7.85,overcast clouds
222,Reyes,BO,-14.3167,-67.3833,75.99,71,12,1.32,few clouds
223,Mersing,MY,2.4312,103.8405,75.11,94,40,5.75,scattered clouds
224,Pontianak,ID,-0.0333,109.3333,80.58,88,20,5.75,few clouds
225,Ketchikan,US,55.3422,-131.6461,52.27,40,20,0.0,few clouds
226,Atar,MR,20.5169,-13.0499,91.67,12,99,5.64,overcast clouds
227,Padrauna,IN,26.9025,83.9819,77.43,85,0,4.07,clear sky
228,Eyl,SO,7.9803,49.8164,78.1,82,86,16.22,overcast clouds
229,Shache,CN,38.4167,77.2406,54.14,45,0,4.54,clear sky
230,Roebourne,AU,-20.7833,117.1333,83.25,28,0,15.3,clear sky
231,Aberdeen,GB,57.1437,-2.0981,52.29,95,90,18.41,light rain
232,Moroto,UG,2.5345,34.6666,71.6,63,93,1.12,overcast clouds
233,Tommot,RU,58.9564,126.2925,33.98,70,76,7.45,broken clouds
234,Yamada,JP,39.4667,141.95,62.76,75,92,3.98,overcast clouds
235,Vila Velha,BR,-20.3297,-40.2925,73.35,88,40,3.44,scattered clouds
236,Bud,US,39.447,-86.1758,70.18,97,100,6.04,overcast clouds
237,Avarua,CK,-21.2078,-159.775,78.85,61,22,12.66,few clouds
238,Itarema,BR,-2.9248,-39.9167,79.36,82,95,15.9,overcast clouds
239,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,20.71,scattered clouds
240,Flinders,AU,-34.5833,150.8552,83.05,43,0,4.0,clear sky
241,Ponta Delgada,PT,37.7333,-25.6667,75.51,100,40,16.11,scattered clouds
242,Inhambane,MZ,-23.865,35.3833,70.97,73,93,8.77,overcast clouds
243,Virginia Beach,US,36.8529,-75.978,73.45,86,90,12.66,overcast clouds
244,Sovetskiy,RU,61.3614,63.5842,40.66,77,98,9.08,overcast clouds
245,Ola,RU,59.5833,151.2833,30.61,38,7,2.15,clear sky
246,Kieta,PG,-6.2167,155.6333,85.82,65,13,3.42,light rain
247,Bereda,ES,43.2686,-7.5406,56.41,100,16,0.92,few clouds
248,Tual,ID,-5.6667,132.75,81.81,75,11,15.5,few clouds
249,Harper,LR,4.375,-7.7169,77.99,86,56,6.89,broken clouds
250,Alta Floresta,BR,-9.8756,-56.0861,71.83,95,72,6.22,broken clouds
251,Tilichiki,RU,60.4667,166.1,30.43,65,100,14.99,overcast clouds
252,Pareora,NZ,-44.4871,171.2132,65.17,92,28,8.39,scattered clouds
253,Stephenville,US,32.2207,-98.2023,78.89,42,1,3.44,clear sky
254,Thompson,CA,55.7435,-97.8558,50.16,62,75,3.44,broken clouds
255,Neustrelitz,DE,53.3667,13.0833,47.39,88,0,3.78,clear sky
256,Rawson,AR,-43.3002,-65.1023,50.04,50,7,20.69,clear sky
257,Marsh Harbour,BS,26.5412,-77.0636,83.71,71,17,13.22,few clouds
258,San Patricio,US,28.017,-97.5169,82.81,52,0,9.04,clear sky
259,Madang,PG,-5.2246,145.7966,86.2,61,100,2.3,overcast clouds
260,Broome,US,42.2506,-75.833,64.6,79,1,0.0,clear sky
261,Wanlaweyn,SO,2.6185,44.8938,74.75,86,58,10.65,broken clouds
262,Chokurdakh,RU,70.6333,147.9167,18.19,91,97,8.25,overcast clouds
263,Torbay,CA,47.6666,-52.7314,54.37,88,1,16.11,clear sky
264,Hambantota,LK,6.1241,81.1185,75.54,100,20,3.44,few clouds
265,Baruun-Urt,MN,46.6806,113.2792,44.46,43,82,9.86,broken clouds
266,Olafsvik,IS,64.8945,-23.7142,41.13,70,100,19.71,overcast clouds
267,Yulara,AU,-25.2406,130.9889,66.04,42,0,16.11,clear sky
268,Constitucion,CL,-35.3333,-72.4167,52.95,70,0,7.18,clear sky
269,Acarau,BR,-2.8856,-40.12,79.47,81,96,16.53,overcast clouds
270,Camopi,GF,3.1655,-52.3158,74.39,88,100,2.57,overcast clouds
271,Georgetown,MY,5.4112,100.3354,82.33,91,40,8.99,scattered clouds
272,Talaya,RU,61.3833,152.75,12.25,74,63,1.97,broken clouds
273,Conde,BR,-7.2597,-34.9075,76.46,88,20,10.36,few clouds
274,Marsa Matruh,EG,31.3525,27.2453,71.8,64,40,11.5,scattered clouds
275,Kaitangata,NZ,-46.2817,169.8464,65.32,50,81,4.43,broken clouds
276,Chatrapur,IN,19.35,84.9833,79.38,86,94,3.6,overcast clouds
277,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,40,8.05,scattered clouds
278,Brasileia,BR,-11.0161,-68.7481,79.3,67,99,2.46,overcast clouds
279,Farmington,US,36.7281,-108.2187,70.48,45,20,4.61,few clouds
280,Port Hedland,AU,-20.3167,118.5667,78.85,44,4,8.05,clear sky
281,Sawtell,AU,-30.3833,153.1,71.92,55,100,5.75,overcast clouds
282,Negombo,LK,7.2083,79.8358,75.25,94,20,3.44,few clouds
