City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
172,Port Hawkesbury,CA,59.59,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
173,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
174,Alofi,NU,80.49,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
175,Margate,GB,53.96,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
177,Alice Springs,AU,69.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
179,Hamilton,US,73.38,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
180,Mount Gambier,AU,51.71,scattered clouds,-37.8333,140.7667,The Commodore
181,Kawalu,ID,73.98,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
182,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
183,Esperance,AU,57.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
185,Stryn,NO,52.88,overcast clouds,61.9045,6.7226,Visnes Hotel Stryn
186,Teguise,ES,66.42,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
187,Catio,GW,78.84,scattered clouds,11.2833,-15.25,Pausada Morabedja
189,Marawi,PH,71.65,overcast clouds,7.9986,124.2928,Derogongan Residence
192,Khash,IR,64.38,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
193,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
196,Hobyo,SO,78.04,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
197,Tezpur,IN,75.4,scattered clouds,26.6333,92.8,Hotel Kanyapur
198,Visnes,NO,54.21,overcast clouds,59.3556,5.2242,Park Inn Haugesund Airport
199,Brenham,US,80.04,clear sky,30.1669,-96.3977,Hampton Inn & Suites Brenham
200,Vao,NC,69.73,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
203,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
205,Vung Tau,VN,79.84,overcast clouds,10.346,107.0843,Green hotel
206,Blama,SL,72.97,light rain,7.8736,-11.3433,Beanageh Small Bo Chiefdom
208,Shingu,JP,79.79,broken clouds,33.7333,135.9833,Shingu UI Hotel
209,Bengkulu,ID,73.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
210,Grande-Synthe,FR,53.58,few clouds,51.0154,2.2998,Première Classe
213,Cockburn Town,TC,83.48,clear sky,21.4612,-71.1419,Osprey Beach Hotel
214,Sindgi,IN,75.06,overcast clouds,16.9167,76.2333,Swaranambika nilaya
216,Nairn,GB,50.94,light rain,57.5809,-3.8797,Golf View
217,Airai,TL,77.85,clear sky,-8.9266,125.4092,Juvinal Martin
218,Lipnita,RO,55.15,broken clouds,44.1,27.6,Hotel Dionis
219,Robertsport,LR,78.93,light rain,6.7533,-11.3686,Kwepunha Retreat
220,Lompoc,US,74.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
221,Korla,CN,55.78,overcast clouds,41.7597,86.1469,Gulisitan Hotel
